Page URL,Status,Issue Type,WCAG Level,Category,Description,Impact,Node
"https://districtgalleria.com/2023/12/01/plans-to-redevelop-the-galleria-at-white-plains-have-been-unveiled/",200,"violations",Level AA,Error,"Ensure the order of headings is semantically correct",moderate,"h3"
"https://districtgalleria.com/2023/12/01/plans-to-redevelop-the-galleria-at-white-plains-have-been-unveiled/",200,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://districtgalleria.com/2023/12/01/plans-to-redevelop-the-galleria-at-white-plains-have-been-unveiled/",200,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""districtgalleria.com""]"
"https://districtgalleria.com/2023/12/01/plans-to-redevelop-the-galleria-at-white-plains-have-been-unveiled/",200,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://districtgalleria.com/2023/12/01/plans-to-redevelop-the-galleria-at-white-plains-have-been-unveiled/",200,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://districtgalleria.com/2023/11/01/pacific-retail-capital-partners-the-cappelli-organization-file-rezoning-request-for-multi-billion-dollar-redevelopment-of-galleria-site-in-downtown-white-plains-ny/",200,"violations",Level AAA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds",serious,".elementor-post-info__item--type-date"
"https://districtgalleria.com/2023/11/01/pacific-retail-capital-partners-the-cappelli-organization-file-rezoning-request-for-multi-billion-dollar-redevelopment-of-galleria-site-in-downtown-white-plains-ny/",200,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://districtgalleria.com/2023/11/01/pacific-retail-capital-partners-the-cappelli-organization-file-rezoning-request-for-multi-billion-dollar-redevelopment-of-galleria-site-in-downtown-white-plains-ny/",200,"violations",Level A,Error,"Ensure links are distinguished from surrounding text in a way that does not rely on color",serious,"a[href$=""businesswire.com/""]"
"https://districtgalleria.com/2023/11/01/pacific-retail-capital-partners-the-cappelli-organization-file-rezoning-request-for-multi-billion-dollar-redevelopment-of-galleria-site-in-downtown-white-plains-ny/",200,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""districtgalleria.com""]"
"https://districtgalleria.com/2023/11/01/pacific-retail-capital-partners-the-cappelli-organization-file-rezoning-request-for-multi-billion-dollar-redevelopment-of-galleria-site-in-downtown-white-plains-ny/",200,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://districtgalleria.com/2023/11/01/pacific-retail-capital-partners-the-cappelli-organization-file-rezoning-request-for-multi-billion-dollar-redevelopment-of-galleria-site-in-downtown-white-plains-ny/",200,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://districtgalleria.com/2023/09/27/sl-green-cappelli-prcp-pitch-white-plains-mall-redevelopment/",200,"violations",Level AAA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds",serious,".elementor-post-info__item--type-date"
"https://districtgalleria.com/2023/09/27/sl-green-cappelli-prcp-pitch-white-plains-mall-redevelopment/",200,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://districtgalleria.com/2023/09/27/sl-green-cappelli-prcp-pitch-white-plains-mall-redevelopment/",200,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""districtgalleria.com""]"
"https://districtgalleria.com/2023/09/27/sl-green-cappelli-prcp-pitch-white-plains-mall-redevelopment/",200,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://districtgalleria.com/2023/09/27/sl-green-cappelli-prcp-pitch-white-plains-mall-redevelopment/",200,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://districtgalleria.com/2023/12/21/",301,"violations",Level AAA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds",serious,".elementor-button-text"
"https://districtgalleria.com/2023/12/21/",301,"violations",Level AA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds",serious,".wpcf7-submit"
"https://districtgalleria.com/2023/12/21/",301,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://districtgalleria.com/2023/12/21/",301,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""districtgalleria.com""]"
"https://districtgalleria.com/2023/12/21/",301,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://districtgalleria.com/2023/12/21/",301,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://districtgalleria.com/author/tedp/",200,"violations",Level AAA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds",serious,".elementor-button-text"
"https://districtgalleria.com/author/tedp/",200,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""districtgalleria.com""]"
"https://districtgalleria.com/author/tedp/",200,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,"#menu-main"
"https://districtgalleria.com/2023/12/01/",301,"violations",Level AAA,Error,"Ensure the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds",serious,".elementor-button-text"
