Page URL,Status,Issue Type,WCAG Level,Category,Description,Impact,Node
"https://shopsatpalmdesert.com/deal/military-discount-at-windsor",301,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,".mcd-deal-image > img[decoding=""async""]"
"https://shopsatpalmdesert.com/deal/military-discount-at-windsor",301,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/deal/military-discount-at-windsor",301,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://shopsatpalmdesert.com/deal/military-discount-at-windsor",301,"violations",Level AA,Error,"Ensure landmarks are unique",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/deal/military-discount-at-windsor",301,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""shopsatpalmdesert.com""]"
"https://shopsatpalmdesert.com/deal/military-discount-at-windsor",301,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://shopsatpalmdesert.com/deal/military-discount-at-windsor",301,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://shopsatpalmdesert.com/deal/military-discount-at-windsor",301,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/auntie-annes-pretzels",301,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,"img[decoding=""async""]"
"https://shopsatpalmdesert.com/stores/auntie-annes-pretzels",301,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/auntie-annes-pretzels",301,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://shopsatpalmdesert.com/stores/auntie-annes-pretzels",301,"violations",Level AA,Error,"Ensure landmarks are unique",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/auntie-annes-pretzels",301,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""shopsatpalmdesert.com""]"
"https://shopsatpalmdesert.com/stores/auntie-annes-pretzels",301,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://shopsatpalmdesert.com/stores/auntie-annes-pretzels",301,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/auntie-annes-pretzels",301,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/az-wireless",301,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,"img[decoding=""async""]"
"https://shopsatpalmdesert.com/stores/az-wireless",301,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/az-wireless",301,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://shopsatpalmdesert.com/stores/az-wireless",301,"violations",Level AA,Error,"Ensure landmarks are unique",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/az-wireless",301,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""shopsatpalmdesert.com""]"
"https://shopsatpalmdesert.com/stores/az-wireless",301,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://shopsatpalmdesert.com/stores/az-wireless",301,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/az-wireless",301,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/banter-by-piercing-pagoda",301,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,"img[decoding=""async""]"
"https://shopsatpalmdesert.com/stores/banter-by-piercing-pagoda",301,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/banter-by-piercing-pagoda",301,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://shopsatpalmdesert.com/stores/banter-by-piercing-pagoda",301,"violations",Level AA,Error,"Ensure landmarks are unique",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/banter-by-piercing-pagoda",301,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""shopsatpalmdesert.com""]"
"https://shopsatpalmdesert.com/stores/banter-by-piercing-pagoda",301,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://shopsatpalmdesert.com/stores/banter-by-piercing-pagoda",301,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/banter-by-piercing-pagoda",301,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/barnes-noble",301,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,"img[decoding=""async""]"
"https://shopsatpalmdesert.com/stores/barnes-noble",301,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/barnes-noble",301,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://shopsatpalmdesert.com/stores/barnes-noble",301,"violations",Level AA,Error,"Ensure landmarks are unique",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/barnes-noble",301,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""shopsatpalmdesert.com""]"
"https://shopsatpalmdesert.com/stores/barnes-noble",301,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://shopsatpalmdesert.com/stores/barnes-noble",301,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/barnes-noble",301,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/mac-cosmetics",301,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,"img[decoding=""async""]"
"https://shopsatpalmdesert.com/stores/mac-cosmetics",301,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/mac-cosmetics",301,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://shopsatpalmdesert.com/stores/mac-cosmetics",301,"violations",Level AA,Error,"Ensure landmarks are unique",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/mac-cosmetics",301,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""shopsatpalmdesert.com""]"
"https://shopsatpalmdesert.com/stores/mac-cosmetics",301,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://shopsatpalmdesert.com/stores/mac-cosmetics",301,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/mac-cosmetics",301,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/aeropostale",301,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,"img[decoding=""async""]"
"https://shopsatpalmdesert.com/stores/aeropostale",301,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/aeropostale",301,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://shopsatpalmdesert.com/stores/aeropostale",301,"violations",Level AA,Error,"Ensure landmarks are unique",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/aeropostale",301,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""shopsatpalmdesert.com""]"
"https://shopsatpalmdesert.com/stores/aeropostale",301,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://shopsatpalmdesert.com/stores/aeropostale",301,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/aeropostale",301,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/american-eagle",301,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,"img[decoding=""async""]"
"https://shopsatpalmdesert.com/stores/american-eagle",301,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/american-eagle",301,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://shopsatpalmdesert.com/stores/american-eagle",301,"violations",Level AA,Error,"Ensure landmarks are unique",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/american-eagle",301,"violations",Level A,Operable,"Ensure links have discernible text",serious,"a[href$=""shopsatpalmdesert.com""]"
"https://shopsatpalmdesert.com/stores/american-eagle",301,"violations",Level AA,Error,"Ensure that the page; or at least one of its frames contains a level-one heading",moderate,"html"
"https://shopsatpalmdesert.com/stores/american-eagle",301,"violations",Level AA,Operable,"Ensure all page content is contained by landmarks",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/american-eagle",301,"violations",Level AA,Operable,"Ensure all skip links have a focusable target",moderate,".skip-link"
"https://shopsatpalmdesert.com/stores/an-american-car-wash",301,"violations",Level A,Perceivable,"Ensure <img> elements have alternative text or a role of none or presentation",critical,"img[decoding=""async""]"
"https://shopsatpalmdesert.com/stores/an-american-car-wash",301,"violations",Level AA,Error,"Ensure the document has at most one contentinfo landmark",moderate,".elementor-element-d947910"
"https://shopsatpalmdesert.com/stores/an-american-car-wash",301,"violations",Level AA,Error,"Ensure the document has a main landmark",moderate,"html"
"https://shopsatpalmdesert.com/stores/an-american-car-wash",301,"violations",Level AA,Error,"Ensure landmarks are unique",moderate,".elementor-element-d947910"
